trade_id,symbol,asset_class,counterparty,quantity,price,notional,trade_date,settlement_date
TRD-00001,TSLA,Equity,CITI,5000,245.0304,1225152.0,2026-08-08,2026-08-10
TRD-00002,MSFT,Equity,UBS,100,415.2255,41522.55,2026-08-24,2026-08-26
TRD-00003,GS-CDS-5Y,Derivative,JPMORGAN,1000,100.4131,100413.1,2026-08-01,2026-08-03
TRD-00004,AAPL,Equity,DEUTSCHE BANK,2500,187.3673,468418.25,2026-08-01,2026-08-03
TRD-00005,GS-CDS-5Y,Derivative,UBS,5000,100.8701,504350.5,2026-08-18,2026-08-20
TRD-00006,EURUSD,FX,CITI,2500,1.0729,2682.25,2026-08-26,2026-08-28
TRD-00007,XAUUSD,Commodity,UBS,250,2333.0187,583254.68,2026-08-14,2026-08-16
TRD-00008,US10Y,Bond,CITI,250,97.8726,24468.15,2026-08-04,2026-08-06
TRD-00009,AAPL,Equity,CITI,500,188.5898,94294.9,2026-08-20,2026-08-22
TRD-00010,US10Y,Bond,BARCLAYS,5000,99.9632,499816.0,2026-08-18,2026-08-20
TRD-00011,AAPL,Equity,JPMORGAN,1000,193.0862,193086.2,2026-08-18,2026-08-20
TRD-00012,US10Y,Bond,CITI,2500,100.0511,250127.75,2026-08-19,2026-08-21
TRD-00013,MSFT,Equity,UBS,100,424.7474,42474.74,2026-08-08,2026-08-10
TRD-00014,XAUUSD,Commodity,MORGAN STANLEY,100,2359.9497,235994.97,2026-08-28,2026-08-30
TRD-00015,AAPL,Equity,UBS,1000,188.5914,188591.4,2026-08-27,2026-08-29
TRD-00016,US10Y,Bond,MORGAN STANLEY,500,97.4175,48708.75,2026-08-22,2026-08-24
TRD-00017,US10Y,Bond,UBS,5000,99.5472,497736.0,2026-08-03,2026-08-05
TRD-00018,GS-CDS-5Y,Derivative,UBS,2500,102.6513,256628.25,2026-08-08,2026-08-10
TRD-00019,MSFT,Equity,UBS,500,420.664,210332.0,2026-08-23,2026-08-25
TRD-00020,GS-CDS-5Y,Derivative,JPMORGAN,500,100.9549,50477.45,2026-08-08,2026-08-10
TRD-00021,XAUUSD,Commodity,BARCLAYS,500,2335.4559,1167727.95,2026-08-09,2026-08-11
TRD-00022,AAPL,Equity,UBS,2500,187.3092,468273.0,2026-08-11,2026-08-13
TRD-00023,MSFT,Equity,UBS,1000,423.9195,423919.5,2026-08-15,2026-08-17
TRD-00024,MSFT,Equity,UBS,250,417.3378,104334.45,2026-08-18,2026-08-20
TRD-00025,GS-CDS-5Y,Derivative,BARCLAYS,2500,101.131,252827.5,2026-08-29,2026-08-31
TRD-00026,GS-CDS-5Y,Derivative,MORGAN STANLEY,250,101.6892,25422.3,2026-08-17,2026-08-19
TRD-00027,EURUSD,FX,JPMORGAN,100,1.0672,106.72,2026-08-05,2026-08-07
TRD-00028,TSLA,Equity,BARCLAYS,5000,245.5148,1227574.0,2026-08-20,2026-08-22
TRD-00029,AAPL,Equity,BARCLAYS,2500,188.6265,471566.25,2026-08-17,2026-08-19
TRD-00030,US10Y,Bond,UBS,100,100.6108,10061.08,2026-08-24,2026-08-26
TRD-00031,AAPL,Equity,CITI,2500,190.8774,477193.5,2026-08-25,2026-08-27
TRD-00032,TSLA,Equity,BARCLAYS,500,247.3088,123654.4,2026-08-06,2026-08-08
TRD-00033,EURUSD,FX,UBS,5000,1.0634,5317.0,2026-08-09,2026-08-11
TRD-00034,GS-CDS-5Y,Derivative,JPMORGAN,2500,103.1699,257924.75,2026-08-28,2026-08-30
TRD-00035,TSLA,Equity,DEUTSCHE BANK,5000,246.8933,1234466.5,2026-08-20,2026-08-22
TRD-00036,MSFT,Equity,DEUTSCHE BANK,250,415.4496,103862.4,2026-08-31,2026-09-02
TRD-00037,XAUUSD,Commodity,DEUTSCHE BANK,100,2420.2157,242021.57,2026-08-11,2026-08-13
TRD-00038,EURUSD,FX,CITI,500,1.0641,532.05,2026-08-08,2026-08-10
TRD-00039,AAPL,Equity,JPMORGAN,2500,187.5358,468839.5,2026-08-03,2026-08-05
TRD-00040,TSLA,Equity,DEUTSCHE BANK,100,248.7605,24876.05,2026-08-25,2026-08-27
TRD-00041,MSFT,Equity,DEUTSCHE BANK,1000,415.0377,415037.7,2026-08-06,2026-08-08
TRD-00042,US10Y,Bond,BARCLAYS,2500,98.8593,247148.25,2026-08-31,2026-09-02
TRD-00043,MSFT,Equity,UBS,5000,428.5281,2142640.5,2026-08-07,2026-08-09
TRD-00044,TSLA,Equity,UBS,5000,247.0254,1235127.0,2026-08-12,2026-08-14
TRD-00045,EURUSD,FX,JPMORGAN,1000,1.1023,1102.3,2026-08-08,2026-08-10
TRD-00046,MSFT,Equity,DEUTSCHE BANK,100,413.953,41395.3,2026-08-18,2026-08-20
TRD-00047,MSFT,Equity,JPMORGAN,100,422.7904,42279.04,2026-08-23,2026-08-25
TRD-00048,TSLA,Equity,JPMORGAN,100,244.5081,24450.81,2026-08-28,2026-08-30
TRD-00049,US10Y,Bond,CITI,250,97.0549,24263.73,2026-08-22,2026-08-24
TRD-00050,EURUSD,FX,UBS,250,1.0726,268.15,2026-08-30,2026-09-01
TRD-00051,GS-CDS-5Y,Derivative,BARCLAYS,250,102.4112,25602.8,2026-08-26,2026-08-28
TRD-00052,EURUSD,FX,UBS,100,1.0716,107.16,2026-08-14,2026-08-16
TRD-00053,US10Y,Bond,UBS,1000,98.4481,98448.1,2026-08-02,2026-08-04
TRD-00054,TSLA,Equity,JPMORGAN,5000,250.4278,1252139.0,2026-08-02,2026-08-04
TRD-00055,EURUSD,FX,MORGAN STANLEY,100,1.0949,109.49,2026-08-07,2026-08-09
TRD-00056,MSFT,Equity,BARCLAYS,250,421.9115,105477.88,2026-08-06,2026-08-08
TRD-00057,US10Y,Bond,BARCLAYS,100,98.6024,9860.24,2026-08-26,2026-08-28
TRD-00058,XAUUSD,Commodity,JPMORGAN,100,2413.888,241388.8,2026-08-21,2026-08-23
TRD-00059,GS-CDS-5Y,Derivative,MORGAN STANLEY,100,103.4723,10347.23,2026-08-06,2026-08-08
TRD-00060,EURUSD,FX,BARCLAYS,250,1.0844,271.1,2026-08-29,2026-08-31
TRD-00061,AAPL,Equity,BARCLAYS,100,186.9579,18695.79,2026-08-09,2026-08-11
TRD-00062,XAUUSD,Commodity,BARCLAYS,500,2407.1443,1203572.15,2026-08-23,2026-08-25
TRD-00063,TSLA,Equity,UBS,2500,253.8324,634581.0,2026-08-23,2026-08-25
TRD-00064,EURUSD,FX,MORGAN STANLEY,500,1.07,535.0,2026-08-31,2026-09-02
TRD-00065,AAPL,Equity,JPMORGAN,2500,190.1002,475250.5,2026-08-24,2026-08-26
TRD-00066,US10Y,Bond,BARCLAYS,2500,97.0008,242502.0,2026-08-17,2026-08-19
TRD-00067,XAUUSD,Commodity,DEUTSCHE BANK,100,2382.9632,238296.32,2026-08-03,2026-08-05
TRD-00068,XAUUSD,Commodity,JPMORGAN,2500,2350.0905,5875226.25,2026-08-22,2026-08-24
TRD-00069,XAUUSD,Commodity,DEUTSCHE BANK,100,2354.7914,235479.14,2026-08-08,2026-08-10
TRD-00070,GS-CDS-5Y,Derivative,JPMORGAN,2500,102.486,256215.0,2026-08-14,2026-08-16
TRD-00071,TSLA,Equity,CITI,2500,249.733,624332.5,2026-08-30,2026-09-01
TRD-00072,US10Y,Bond,CITI,5000,97.5818,487909.0,2026-08-08,2026-08-10
TRD-00073,US10Y,Bond,UBS,5000,98.3384,491692.0,2026-08-10,2026-08-12
TRD-00074,EURUSD,FX,JPMORGAN,100,1.077,107.7,2026-08-15,2026-08-17
TRD-00075,GS-CDS-5Y,Derivative,JPMORGAN,100,104.1357,10413.57,2026-08-18,2026-08-20
TRD-00076,MSFT,Equity,CITI,250,421.3992,105349.8,2026-08-29,2026-08-31
TRD-00077,AAPL,Equity,CITI,500,192.3749,96187.45,2026-08-06,2026-08-08
TRD-00078,EURUSD,FX,CITI,5000,1.0995,5497.5,2026-08-20,2026-08-22
TRD-00079,XAUUSD,Commodity,UBS,100,2394.6585,239465.85,2026-08-27,2026-08-29
TRD-00080,GS-CDS-5Y,Derivative,JPMORGAN,5000,101.2807,506403.5,2026-08-31,2026-09-02
TRD-00081,MSFT,Equity,UBS,100,417.3308,41733.08,2026-08-18,2026-08-20
TRD-00082,MSFT,Equity,MORGAN STANLEY,2500,417.4636,1043659.0,2026-08-23,2026-08-25
TRD-00083,US10Y,Bond,CITI,5000,97.5792,487896.0,2026-08-17,2026-08-19
TRD-00084,EURUSD,FX,JPMORGAN,100,1.0742,107.42,2026-08-21,2026-08-23
TRD-00085,EURUSD,FX,JPMORGAN,100,1.0993,109.93,2026-08-11,2026-08-13
TRD-00086,XAUUSD,Commodity,MORGAN STANLEY,500,2344.854,1172427.0,2026-08-24,2026-08-26
TRD-00087,EURUSD,FX,DEUTSCHE BANK,1000,1.0872,1087.2,2026-08-01,2026-08-03
TRD-00088,AAPL,Equity,MORGAN STANLEY,5000,186.2803,931401.5,2026-08-18,2026-08-20
TRD-00089,AAPL,Equity,DEUTSCHE BANK,2500,192.0362,480090.5,2026-08-05,2026-08-07
TRD-00090,EURUSD,FX,CITI,500,1.0688,534.4,2026-08-29,2026-08-31
TRD-00091,XAUUSD,Commodity,CITI,100,2424.9531,242495.31,2026-08-07,2026-08-09
TRD-00092,TSLA,Equity,CITI,100,246.4063,24640.63,2026-08-25,2026-08-27
TRD-00093,GS-CDS-5Y,Derivative,DEUTSCHE BANK,1000,103.6688,103668.8,2026-08-24,2026-08-26
TRD-00094,MSFT,Equity,MORGAN STANLEY,250,428.475,107118.75,2026-08-26,2026-08-28
TRD-00095,XAUUSD,Commodity,JPMORGAN,1000,2349.2554,2349255.4,2026-08-06,2026-08-08
TRD-00096,TSLA,Equity,UBS,1000,253.1262,253126.2,2026-08-28,2026-08-30
TRD-00097,TSLA,Equity,MORGAN STANLEY,500,251.9938,125996.9,2026-08-26,2026-08-28
TRD-00098,TSLA,Equity,BARCLAYS,100,244.9982,24499.82,2026-08-08,2026-08-10
TRD-00099,MSFT,Equity,CITI,1000,426.6351,426635.1,2026-08-10,2026-08-12
TRD-00100,XAUUSD,Commodity,MORGAN STANLEY,250,2408.1169,602029.22,2026-08-01,2026-08-03
TRD-00101,TSLA,Equity,CITI,500,245.8448,122922.4,2026-08-28,2026-08-30
TRD-00102,AAPL,Equity,CITI,500,193.039,96519.5,2026-08-21,2026-08-23
TRD-00103,GS-CDS-5Y,Derivative,CITI,2500,101.6903,254225.75,2026-08-31,2026-09-02
TRD-00104,AAPL,Equity,MORGAN STANLEY,500,186.5843,93292.15,2026-08-19,2026-08-21
TRD-00105,US10Y,Bond,BARCLAYS,2500,96.9261,242315.25,2026-08-12,2026-08-14
TRD-00106,TSLA,Equity,DEUTSCHE BANK,1000,251.7517,251751.7,2026-08-17,2026-08-19
TRD-00107,AAPL,Equity,MORGAN STANLEY,2500,188.6298,471574.5,2026-08-09,2026-08-11
TRD-00108,AAPL,Equity,DEUTSCHE BANK,100,191.0826,19108.26,2026-08-30,2026-09-01
TRD-00109,XAUUSD,Commodity,UBS,5000,2383.6606,11918303.0,2026-08-24,2026-08-26
TRD-00110,TSLA,Equity,JPMORGAN,1000,245.8837,245883.7,2026-08-31,2026-09-02
TRD-00111,TSLA,Equity,CITI,2500,253.0892,632723.0,2026-08-22,2026-08-24
TRD-00112,XAUUSD,Commodity,DEUTSCHE BANK,500,2344.2643,1172132.15,2026-08-10,2026-08-12
TRD-00113,TSLA,Equity,UBS,1000,247.988,247988.0,2026-08-10,2026-08-12
TRD-00114,GS-CDS-5Y,Derivative,UBS,1000,100.5778,100577.8,2026-08-31,2026-09-02
TRD-00115,EURUSD,FX,DEUTSCHE BANK,250,1.0927,273.18,2026-08-19,2026-08-21
TRD-00116,US10Y,Bond,CITI,100,98.379,9837.9,2026-08-10,2026-08-12
TRD-00117,MSFT,Equity,DEUTSCHE BANK,2500,420.1185,1050296.25,2026-08-21,2026-08-23
TRD-00118,US10Y,Bond,UBS,1000,98.6117,98611.7,2026-08-07,2026-08-09
TRD-00119,GS-CDS-5Y,Derivative,MORGAN STANLEY,5000,101.9905,509952.5,2026-08-22,2026-08-24
TRD-00120,AAPL,Equity,UBS,5000,187.8611,939305.5,2026-08-20,2026-08-22
TRD-00121,US10Y,Bond,UBS,250,97.1439,24285.98,2026-08-10,2026-08-12
TRD-00122,MSFT,Equity,JPMORGAN,250,426.4662,106616.55,2026-08-02,2026-08-04
TRD-00123,MSFT,Equity,JPMORGAN,2500,429.4553,1073638.25,2026-08-15,2026-08-17
TRD-00124,EURUSD,FX,MORGAN STANLEY,2500,1.1018,2754.5,2026-08-23,2026-08-25
